id,REGISTRO_CAMARA_COMERCIO,REGISTRO_SUPERINTENDENCIA,TIPO_HABITACION,HORARIO_ADMIN_INICIAL,HORARIO_ADMIN_FINAL,TAMANO,UBICACION,CANTIDAD_NOCHES,CAPACIDAD_MAXIMA
124,Nullam sit amet turpis elementum ligula vehicula consequat.,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",compartida,5,11,pequeño,1366 Texas Street,16,44
125,Nullam molestie nibh in lectus.,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",compartida,1,7,pequeño,8013 Monterey Terrace,4,45
126,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",Suspendisse potenti. In eleifend quam a odio.,sencilla,6,12,grande,5976 Portage Plaza,20,46
127,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",compartida,2,8,grande,3750 Eagle Crest Avenue,4,2
128,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,compartida,2,8,mediano,1912 Sheridan Alley,9,26
129,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",sencilla,1,7,pequeño,87 Golf View Road,4,45
130,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",sencilla,7,13,grande,69258 Grayhawk Terrace,16,32
131,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.","Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",compartida,3,9,pequeño,0706 Northland Avenue,12,6
132,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",Integer non velit.,compartida,9,15,mediano,93 Bellgrove Pass,4,28
133,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",sencilla,6,12,mediano,25 Prentice Place,6,47
134,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",compartida,7,13,mediano,18665 Leroy Alley,7,5
135,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,Duis mattis egestas metus.,sencilla,1,7,pequeño,8 Muir Crossing,10,25
136,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,compartida,2,8,mediano,90 Stone Corner Park,12,15
137,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",sencilla,3,9,grande,63256 School Hill,4,3
138,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,Mauris lacinia sapien quis libero.,compartida,9,15,pequeño,92751 Spaight Crossing,16,21
139,Mauris lacinia sapien quis libero.,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",sencilla,2,8,pequeño,4 Tennessee Way,1,4
140,Proin at turpis a pede posuere nonummy. Integer non velit.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",sencilla,1,7,pequeño,81933 Marquette Plaza,18,16
141,Donec dapibus.,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,compartida,6,12,mediano,95 Sachtjen Parkway,2,42
142,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.","Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",sencilla,9,15,pequeño,972 Westport Lane,1,33
143,Nulla suscipit ligula in lacus.,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",sencilla,6,12,pequeño,0 Dwight Trail,17,20
144,Maecenas tincidunt lacus at velit.,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,sencilla,7,13,grande,409 Vermont Terrace,14,18
145,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.","Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",sencilla,9,15,mediano,185 Bowman Court,5,14
146,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",compartida,5,11,pequeño,071 Garrison Avenue,17,43
147,Donec posuere metus vitae ipsum.,Vivamus vestibulum sagittis sapien.,compartida,9,15,pequeño,71187 Melody Point,2,44
148,Nulla mollis molestie lorem. Quisque ut erat.,Cras in purus eu magna vulputate luctus.,compartida,4,10,grande,5542 Eagan Point,8,35
149,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.","Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",sencilla,8,14,pequeño,653 Kinsman Crossing,10,42
150,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,In quis justo. Maecenas rhoncus aliquam lacus.,compartida,2,8,mediano,791 Meadow Valley Street,3,21
151,Sed accumsan felis. Ut at dolor quis odio consequat varius.,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",sencilla,5,11,grande,254 Carpenter Point,18,33
152,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",Curabitur in libero ut massa volutpat convallis.,sencilla,9,15,pequeño,09 Sullivan Court,6,35
153,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",compartida,1,7,mediano,8430 Grasskamp Court,7,9
154,Nulla tellus. In sagittis dui vel nisl.,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",sencilla,5,11,mediano,22 Bunker Hill Crossing,1,23
155,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Nullam porttitor lacus at turpis.,sencilla,2,8,pequeño,5 Springview Lane,8,8
156,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.","Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",compartida,7,13,pequeño,06128 West Place,1,37
157,Etiam vel augue. Vestibulum rutrum rutrum neque.,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",compartida,6,12,mediano,0009 Clemons Pass,8,7
158,Nullam molestie nibh in lectus. Pellentesque at nulla.,Nunc purus. Phasellus in felis.,sencilla,7,13,pequeño,53657 Evergreen Street,3,40
159,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,sencilla,1,7,pequeño,85 Riverside Place,5,27
160,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",sencilla,6,12,pequeño,1 Corben Court,11,48
161,Nunc purus. Phasellus in felis. Donec semper sapien a libero.,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",sencilla,8,14,pequeño,952 Bartillon Junction,12,49
162,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,compartida,8,14,grande,9656 Nancy Pass,10,17
163,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Aliquam sit amet diam in magna bibendum imperdiet.,sencilla,4,10,grande,29451 Bartelt Place,18,48
164,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,In eleifend quam a odio. In hac habitasse platea dictumst.,compartida,9,15,mediano,847 Nobel Park,8,3
165,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",sencilla,10,16,mediano,392 Lyons Center,11,41
166,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",Phasellus in felis. Donec semper sapien a libero. Nam dui.,compartida,10,16,grande,3 Hazelcrest Plaza,4,26
167,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.","Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",compartida,4,10,pequeño,29760 Aberg Center,5,29
168,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,Curabitur at ipsum ac tellus semper interdum.,compartida,4,10,mediano,038 Gina Trail,13,20
169,In hac habitasse platea dictumst.,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",sencilla,4,10,pequeño,80210 Birchwood Terrace,8,3
170,Suspendisse accumsan tortor quis turpis.,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",sencilla,5,11,mediano,2 Brown Hill,20,16
171,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.","Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",compartida,2,8,grande,156 Northridge Road,9,46
172,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,compartida,10,16,grande,7264 Hoard Circle,4,21
173,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",sencilla,7,13,pequeño,4312 Browning Junction,4,21
174,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",compartida,6,12,grande,09551 Shopko Hill,9,30
175,Nullam porttitor lacus at turpis.,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,compartida,8,14,pequeño,76 Ludington Trail,1,35
176,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,sencilla,5,11,mediano,22 Westridge Pass,18,33
177,Proin at turpis a pede posuere nonummy. Integer non velit.,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",compartida,8,14,pequeño,588 Lillian Street,8,44
178,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Aliquam erat volutpat. In congue. Etiam justo.,compartida,5,11,grande,1 Red Cloud Point,10,35
179,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.","Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",compartida,9,15,pequeño,8946 Summit Hill,5,40
180,Mauris sit amet eros.,Aliquam non mauris.,sencilla,10,16,pequeño,11 Thierer Crossing,11,14
181,Sed accumsan felis.,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,compartida,8,14,mediano,9 Heath Way,15,7
182,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",compartida,5,11,pequeño,23188 Glendale Hill,15,30
183,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,Etiam faucibus cursus urna.,sencilla,4,10,pequeño,220 Dakota Center,19,20
184,Phasellus in felis. Donec semper sapien a libero. Nam dui.,Proin at turpis a pede posuere nonummy.,compartida,8,14,pequeño,79566 Kensington Lane,1,31
185,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",sencilla,1,7,grande,2 Anniversary Street,11,48
186,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,sencilla,9,15,pequeño,2 Spohn Terrace,12,37
187,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,compartida,6,12,grande,0285 Evergreen Park,3,23
188,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,compartida,8,14,pequeño,55041 Becker Hill,6,6
189,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.","In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",compartida,2,8,pequeño,1723 Fordem Alley,4,31
190,Nulla ac enim.,Nunc purus. Phasellus in felis.,sencilla,6,12,grande,65 Forest Run Park,18,33
191,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.","Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",sencilla,2,8,grande,4984 Westport Crossing,14,11
192,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",Vivamus tortor.,compartida,6,12,grande,91075 Dennis Pass,20,29
193,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",Morbi porttitor lorem id ligula.,compartida,8,14,mediano,2 Becker Trail,5,26
194,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Quisque id justo sit amet sapien dignissim vestibulum.,compartida,10,16,pequeño,88644 Straubel Center,14,15
195,Maecenas ut massa quis augue luctus tincidunt.,Cras pellentesque volutpat dui.,sencilla,6,12,pequeño,6778 Pennsylvania Hill,10,17
