id,REGISTRO_CAMARA_COMERCIO,REGISTRO_SUPERINTENDENCIA,TIPO_HABITACION,HORARIO_ADMIN_24H,TAMANO,UBICACION,CANTIDAD_NOCHES,CAPACIDAD_MAXIMA
636,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,Praesent id massa id nisl venenatis lacinia.,semisuite,0,pequeño,25 Lukken Court,15,5
637,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",Proin at turpis a pede posuere nonummy. Integer non velit.,estandar,1,mediano,652 Fuller Center,9,5
638,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.","In est risus, auctor sed, tristique in, tempus sit amet, sem.",suite,0,grande,92800 Farragut Lane,13,5
639,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",Nunc rhoncus dui vel sem. Sed sagittis.,semisuite,1,pequeño,28 7th Plaza,9,2
640,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,estandar,1,mediano,93 John Wall Terrace,12,6
641,Vivamus in felis eu sapien cursus vestibulum.,Etiam faucibus cursus urna. Ut tellus.,semisuite,0,pequeño,368 Oriole Trail,10,6
642,Nulla tempus.,Praesent blandit. Nam nulla.,suite,1,pequeño,264 Dwight Hill,11,2
643,Ut at dolor quis odio consequat varius.,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",semisuite,1,pequeño,07 Spaight Alley,17,3
644,Nulla tellus. In sagittis dui vel nisl.,Aenean lectus.,semisuite,0,mediano,89 Knutson Terrace,2,5
645,Nullam porttitor lacus at turpis.,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,estandar,0,mediano,38 Arapahoe Circle,4,6
646,Vestibulum sed magna at nunc commodo placerat.,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",semisuite,1,grande,0 Prentice Trail,10,4
647,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",Aenean sit amet justo.,suite,1,mediano,8 Division Place,11,6
648,Suspendisse accumsan tortor quis turpis.,Etiam faucibus cursus urna. Ut tellus.,suite,1,mediano,77436 Mccormick Point,10,2
649,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",suite,1,mediano,3695 Calypso Park,20,5
650,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Morbi quis tortor id nulla ultrices aliquet.,suite,0,pequeño,8185 Kropf Point,12,2
651,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.","Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",estandar,0,mediano,4 Jackson Avenue,2,2
652,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",estandar,0,grande,60111 Pepper Wood Crossing,5,6
653,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,In eleifend quam a odio.,suite,0,mediano,23725 Ilene Point,12,2
654,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",Aliquam sit amet diam in magna bibendum imperdiet.,semisuite,1,mediano,29 Norway Maple Avenue,10,3
655,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,semisuite,0,pequeño,1142 Russell Trail,20,6
656,Integer a nibh.,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",suite,0,mediano,99130 Dakota Center,15,6
657,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.","Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",semisuite,1,pequeño,9396 Randy Lane,17,5
658,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,Phasellus sit amet erat.,suite,1,grande,790 Talmadge Parkway,9,4
659,Donec semper sapien a libero.,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",semisuite,0,pequeño,519 Monterey Place,12,4
660,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,semisuite,0,pequeño,74329 Shasta Drive,9,3
661,Donec posuere metus vitae ipsum.,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,semisuite,1,pequeño,57679 Arapahoe Drive,9,5
662,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Curabitur in libero ut massa volutpat convallis.,suite,1,grande,12 Mayer Terrace,9,4
663,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,Phasellus in felis. Donec semper sapien a libero.,estandar,1,pequeño,713 Fairview Point,4,2
664,Aliquam non mauris. Morbi non lectus.,Morbi quis tortor id nulla ultrices aliquet.,suite,0,mediano,439 Welch Junction,18,3
665,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.","In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",suite,0,grande,3248 South Center,9,5
666,Nunc rhoncus dui vel sem. Sed sagittis.,Curabitur in libero ut massa volutpat convallis.,suite,1,pequeño,2949 Oneill Terrace,10,6
667,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,estandar,0,grande,63793 Arkansas Junction,3,3
668,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",suite,1,mediano,245 Lotheville Hill,6,5
669,Sed ante. Vivamus tortor.,Proin eu mi. Nulla ac enim.,estandar,1,pequeño,5 Washington Plaza,9,3
670,Duis bibendum.,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",estandar,0,grande,2 Scott Lane,17,3
671,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.","Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",suite,1,pequeño,135 Banding Junction,19,3
672,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,semisuite,1,pequeño,1528 Di Loreto Terrace,5,3
673,Duis mattis egestas metus. Aenean fermentum.,Morbi non quam nec dui luctus rutrum. Nulla tellus.,estandar,1,mediano,5 Nobel Terrace,17,2
674,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.","In est risus, auctor sed, tristique in, tempus sit amet, sem.",suite,0,mediano,55 Northridge Trail,4,2
675,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",suite,1,pequeño,885 Saint Paul Pass,2,2
676,In eleifend quam a odio. In hac habitasse platea dictumst.,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",estandar,0,pequeño,412 Ridgeview Terrace,18,5
677,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",Pellentesque ultrices mattis odio. Donec vitae nisi.,suite,1,pequeño,6835 Dunning Avenue,2,2
678,Phasellus id sapien in sapien iaculis congue.,Nulla nisl. Nunc nisl.,estandar,0,pequeño,835 Kipling Road,11,3
679,Donec posuere metus vitae ipsum.,Etiam faucibus cursus urna.,suite,1,mediano,5632 Fremont Place,11,5
680,Phasellus id sapien in sapien iaculis congue.,Nam dui.,semisuite,1,pequeño,808 Kensington Lane,17,6
681,Nunc nisl.,Praesent blandit. Nam nulla.,semisuite,1,mediano,85877 Colorado Park,8,2
682,Proin at turpis a pede posuere nonummy.,Integer a nibh.,suite,1,pequeño,08 Roxbury Lane,9,3
683,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,Nullam porttitor lacus at turpis.,estandar,0,grande,4 Glacier Hill Trail,2,6
684,Suspendisse accumsan tortor quis turpis.,In sagittis dui vel nisl.,suite,1,mediano,369 Londonderry Crossing,15,4
685,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,In hac habitasse platea dictumst.,suite,0,grande,25 Emmet Junction,6,3
686,Donec semper sapien a libero. Nam dui.,Donec quis orci eget orci vehicula condimentum.,suite,1,grande,21 Victoria Parkway,18,5
687,Donec ut mauris eget massa tempor convallis.,Morbi vel lectus in quam fringilla rhoncus.,suite,1,pequeño,851 Dryden Parkway,20,3
688,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Nullam varius.,suite,0,pequeño,79107 Melrose Court,1,3
689,Donec quis orci eget orci vehicula condimentum.,Nulla tellus.,suite,1,pequeño,609 Sheridan Park,20,6
690,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",suite,1,pequeño,5 Algoma Crossing,5,2
691,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Sed ante.,semisuite,1,pequeño,02 Saint Paul Crossing,1,3
692,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",Duis aliquam convallis nunc.,suite,1,mediano,5 Scott Drive,19,2
693,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Maecenas pulvinar lobortis est. Phasellus sit amet erat.,semisuite,1,grande,6263 Jackson Place,15,6
694,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Nullam molestie nibh in lectus.,estandar,0,grande,15565 Jay Alley,4,6
695,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",Pellentesque ultrices mattis odio. Donec vitae nisi.,suite,1,pequeño,90684 Morningstar Center,19,4
696,Proin interdum mauris non ligula pellentesque ultrices.,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",semisuite,0,grande,9 Northridge Trail,2,6
697,Fusce consequat. Nulla nisl.,In quis justo. Maecenas rhoncus aliquam lacus.,estandar,0,pequeño,604 Morningstar Crossing,13,4
698,Curabitur in libero ut massa volutpat convallis.,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",suite,1,mediano,38 Cherokee Trail,10,3
699,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Morbi vel lectus in quam fringilla rhoncus.,suite,0,mediano,359 Westridge Place,20,6
700,Phasellus sit amet erat.,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,estandar,0,mediano,5226 Oakridge Drive,17,3
701,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,estandar,0,pequeño,084 Hansons Hill,9,6
702,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",suite,1,mediano,98162 Warrior Place,18,4
703,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Ut at dolor quis odio consequat varius. Integer ac leo.,suite,0,pequeño,51650 Browning Street,17,6
704,Integer ac neque.,Fusce consequat.,estandar,1,mediano,3103 Bay Lane,9,5
705,Donec ut dolor.,Nulla mollis molestie lorem.,estandar,0,mediano,12 Forster Crossing,13,4
706,Donec semper sapien a libero. Nam dui.,Nunc rhoncus dui vel sem. Sed sagittis.,estandar,0,pequeño,75284 Eagan Crossing,6,4
707,Cras in purus eu magna vulputate luctus.,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",suite,1,pequeño,2 Lyons Road,18,4
708,Donec ut mauris eget massa tempor convallis.,Etiam faucibus cursus urna.,estandar,0,pequeño,66914 Fremont Parkway,14,4
709,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,Etiam justo.,semisuite,1,grande,21 Dwight Pass,18,5
710,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Etiam pretium iaculis justo.,semisuite,1,pequeño,021 Rutledge Drive,18,2
711,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",Aliquam non mauris.,semisuite,1,mediano,074 Briar Crest Avenue,4,2
712,Morbi a ipsum. Integer a nibh.,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,suite,1,grande,180 Crownhardt Drive,5,4
713,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",Nullam molestie nibh in lectus.,estandar,0,pequeño,8908 Reindahl Court,6,4
714,In sagittis dui vel nisl.,In eleifend quam a odio. In hac habitasse platea dictumst.,estandar,1,pequeño,22951 Mockingbird Plaza,1,4
715,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,suite,0,pequeño,9 Barnett Crossing,12,3
716,Integer a nibh. In quis justo.,Mauris sit amet eros.,estandar,1,pequeño,7946 Springs Terrace,5,6
717,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",estandar,1,mediano,602 High Crossing Point,20,5
718,Pellentesque ultrices mattis odio. Donec vitae nisi.,Donec quis orci eget orci vehicula condimentum.,semisuite,1,pequeño,93396 Eastwood Avenue,7,6
719,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Nunc rhoncus dui vel sem.,estandar,1,pequeño,5274 Golden Leaf Place,9,6
720,Duis bibendum. Morbi non quam nec dui luctus rutrum.,Donec ut dolor.,estandar,0,pequeño,32500 International Parkway,12,6
721,Morbi quis tortor id nulla ultrices aliquet.,Fusce consequat.,suite,1,mediano,706 Amoth Circle,13,3
722,Ut at dolor quis odio consequat varius. Integer ac leo.,Nunc purus.,semisuite,1,grande,8 Dovetail Pass,18,2
723,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Phasellus sit amet erat.,estandar,0,pequeño,1 Mockingbird Pass,12,4
724,Integer ac neque.,Aenean sit amet justo. Morbi ut odio.,suite,0,pequeño,9 Moland Alley,12,2
725,Sed vel enim sit amet nunc viverra dapibus.,Proin risus.,estandar,1,pequeño,3 Spohn Place,8,5
726,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",estandar,0,mediano,39 Grim Trail,12,4
727,Donec dapibus.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",semisuite,0,pequeño,4821 Nova Parkway,3,2
728,Aenean sit amet justo.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",estandar,1,grande,01 Lighthouse Bay Drive,20,3
729,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,Cras non velit nec nisi vulputate nonummy.,suite,1,pequeño,57 Haas Alley,10,5
730,Duis bibendum. Morbi non quam nec dui luctus rutrum.,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",suite,1,mediano,010 Swallow Street,20,6
731,Aenean auctor gravida sem.,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",suite,0,pequeño,32 Barby Avenue,12,4
732,Ut at dolor quis odio consequat varius. Integer ac leo.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",semisuite,1,pequeño,2 Chive Terrace,5,5
733,Fusce consequat. Nulla nisl.,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",semisuite,0,mediano,18 Riverside Point,4,6
734,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,Suspendisse potenti. Nullam porttitor lacus at turpis.,suite,1,pequeño,2 Bunker Hill Point,8,6
735,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",estandar,0,mediano,061 Hallows Junction,18,3
736,Donec posuere metus vitae ipsum. Aliquam non mauris.,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",semisuite,1,mediano,512 Oneill Court,7,3
737,Nunc rhoncus dui vel sem. Sed sagittis.,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",semisuite,1,mediano,3879 Longview Crossing,11,4
738,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.","In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",semisuite,0,grande,54 Mandrake Pass,19,5
739,Sed accumsan felis. Ut at dolor quis odio consequat varius.,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",suite,1,pequeño,66106 Arrowood Junction,17,6
740,Maecenas ut massa quis augue luctus tincidunt.,In quis justo. Maecenas rhoncus aliquam lacus.,estandar,0,pequeño,921 Crowley Road,2,4
741,Nulla justo.,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",suite,0,pequeño,3 Carioca Junction,14,2
742,Morbi quis tortor id nulla ultrices aliquet.,In hac habitasse platea dictumst.,suite,1,grande,238 Packers Center,20,5
743,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Aliquam non mauris.,suite,0,pequeño,585 Gale Hill,10,5
744,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",suite,1,pequeño,885 Nobel Lane,14,6
745,Suspendisse potenti. Nullam porttitor lacus at turpis.,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",estandar,1,pequeño,7 Anniversary Lane,7,6
746,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,Integer tincidunt ante vel ipsum.,suite,0,pequeño,817 Forest Dale Trail,10,4
747,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,suite,0,grande,19131 Sage Pass,12,5
748,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,suite,0,grande,319 Prairieview Alley,20,4
749,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.","Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",suite,1,mediano,99 Hollow Ridge Plaza,3,6
750,Morbi non lectus.,In eleifend quam a odio.,suite,1,pequeño,294 Anniversary Plaza,19,6
751,Nulla tempus.,Suspendisse potenti.,estandar,1,grande,8 Bartelt Court,11,4
752,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,estandar,0,pequeño,0 Longview Trail,12,2
753,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Duis aliquam convallis nunc.,semisuite,0,grande,180 Lotheville Circle,19,5
754,Nullam varius. Nulla facilisi.,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",semisuite,0,pequeño,6 Logan Court,13,3
755,Praesent blandit.,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,semisuite,0,mediano,0 David Court,19,6
756,Nam tristique tortor eu pede.,Proin risus. Praesent lectus.,estandar,1,pequeño,71328 Dahle Plaza,3,4
757,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,Quisque porta volutpat erat.,suite,0,pequeño,03579 Hanover Place,5,2
758,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",suite,0,pequeño,75162 Pond Crossing,19,6
759,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",estandar,0,grande,11 Mosinee Park,15,4
760,Sed vel enim sit amet nunc viverra dapibus.,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,suite,1,grande,4090 Fallview Terrace,18,4
761,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.","Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",semisuite,1,grande,700 Myrtle Court,12,3
762,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Praesent blandit. Nam nulla.,suite,1,pequeño,5191 Pearson Street,8,3
763,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,estandar,0,grande,0615 Loftsgordon Lane,8,4
764,Pellentesque ultrices mattis odio.,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,semisuite,0,mediano,14 Village Green Parkway,1,3
765,Fusce consequat.,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",estandar,0,mediano,0 Melody Circle,9,5
766,Nam tristique tortor eu pede.,Quisque id justo sit amet sapien dignissim vestibulum.,estandar,1,pequeño,818 Dahle Way,4,4
767,Sed ante. Vivamus tortor.,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,estandar,1,mediano,392 Bay Street,5,3
768,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,Nulla ut erat id mauris vulputate elementum.,semisuite,0,mediano,1 Lindbergh Alley,12,6
769,Curabitur at ipsum ac tellus semper interdum.,In sagittis dui vel nisl.,suite,1,mediano,76415 Grim Terrace,19,6
770,Sed ante.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",semisuite,1,mediano,6 7th Drive,12,5
771,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,Donec ut mauris eget massa tempor convallis.,semisuite,0,mediano,1901 Merry Trail,1,2
772,Vivamus in felis eu sapien cursus vestibulum.,Nulla nisl. Nunc nisl.,suite,0,pequeño,2 Summer Ridge Lane,9,2
773,Etiam justo. Etiam pretium iaculis justo.,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",semisuite,0,grande,4029 Roth Alley,1,4
774,Praesent blandit.,Etiam justo.,suite,0,mediano,1237 David Avenue,18,2
775,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Vestibulum rutrum rutrum neque.,semisuite,1,pequeño,21512 Jenifer Center,3,2
776,Vivamus vel nulla eget eros elementum pellentesque.,Suspendisse accumsan tortor quis turpis.,semisuite,0,mediano,4227 Basil Court,12,5
777,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",suite,0,pequeño,46326 Hanover Drive,19,3
778,Morbi a ipsum. Integer a nibh.,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",semisuite,0,pequeño,78362 East Circle,10,4
779,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.","Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",semisuite,1,pequeño,213 Tomscot Pass,1,4
780,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,semisuite,1,pequeño,6 Montana Trail,6,3
781,Pellentesque ultrices mattis odio. Donec vitae nisi.,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",suite,0,pequeño,469 West Place,10,3
782,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,estandar,1,grande,884 Southridge Crossing,5,6
783,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Morbi non lectus.,estandar,0,pequeño,99 Waywood Point,12,4
784,Duis at velit eu est congue elementum.,Donec quis orci eget orci vehicula condimentum.,suite,0,pequeño,43769 Namekagon Parkway,9,3
785,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Donec dapibus. Duis at velit eu est congue elementum.,suite,0,pequeño,4 Dapin Plaza,17,3
786,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.","Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",suite,1,pequeño,52292 Algoma Avenue,18,4
787,Suspendisse accumsan tortor quis turpis.,Morbi a ipsum. Integer a nibh.,semisuite,1,mediano,2 Charing Cross Hill,3,6
788,Suspendisse accumsan tortor quis turpis. Sed ante.,Donec dapibus.,suite,1,pequeño,95773 Calypso Terrace,17,4
